[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                                                                                                           
{'loss': 5.8672, 'grad_norm': 2255.412353515625, 'learning_rate': 0.0, 'num_tokens': 667.0, 'mean_token_accuracy': 0.7657430768013, 'epoch': 0.0}
{'loss': 7.0156, 'grad_norm': 1456.5504150390625, 'learning_rate': 2.967359050445104e-08, 'num_tokens': 1361.0, 'mean_token_accuracy': 0.7474226951599121, 'epoch': 0.0}
{'loss': 8.2891, 'grad_norm': 2474.20166015625, 'learning_rate': 5.934718100890208e-08, 'num_tokens': 2052.0, 'mean_token_accuracy': 0.6936708688735962, 'epoch': 0.0}
{'loss': 8.0312, 'grad_norm': 894.4346923828125, 'learning_rate': 8.902077151335312e-08, 'num_tokens': 2784.0, 'mean_token_accuracy': 0.6937173008918762, 'epoch': 0.0}
{'loss': 5.6953, 'grad_norm': 773.3211059570312, 'learning_rate': 1.1869436201780416e-07, 'num_tokens': 3611.0, 'mean_token_accuracy': 0.7750511169433594, 'epoch': 0.0}
{'loss': 5.8281, 'grad_norm': 11002.33984375, 'learning_rate': 1.4836795252225522e-07, 'num_tokens': 4404.0, 'mean_token_accuracy': 0.7879464030265808, 'epoch': 0.0}
{'loss': 5.8594, 'grad_norm': 1115.3419189453125, 'learning_rate': 1.7804154302670624e-07, 'num_tokens': 5137.0, 'mean_token_accuracy': 0.7732697129249573, 'epoch': 0.0}
{'loss': 4.6875, 'grad_norm': 3421.548583984375, 'learning_rate': 2.0771513353115727e-07, 'num_tokens': 6059.0, 'mean_token_accuracy': 0.8582677245140076, 'epoch': 0.0}
{'loss': 4.8203, 'grad_norm': 2551.552978515625, 'learning_rate': 2.3738872403560833e-07, 'num_tokens': 7017.0, 'mean_token_accuracy': 0.8310344815254211, 'epoch': 0.01}
{'loss': 4.4297, 'grad_norm': 3143.043701171875, 'learning_rate': 2.6706231454005935e-07, 'num_tokens': 8090.0, 'mean_token_accuracy': 0.8180404305458069, 'epoch': 0.01}
{'loss': 6.4844, 'grad_norm': 5000.3955078125, 'learning_rate': 2.9673590504451043e-07, 'num_tokens': 8799.0, 'mean_token_accuracy': 0.7529411911964417, 'epoch': 0.01}
