[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                                                                                           
{'loss': 0.0057, 'grad_norm': 0.38850173354148865, 'learning_rate': 0.0, 'num_tokens': 68067.0, 'completions/mean_length': 456.0859375, 'completions/min_length': 100.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.3671875, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.703125, 'completions/mean_terminated_length': 323.65789794921875, 'completions/min_terminated_length': 100.0, 'completions/max_terminated_length': 507.0, 'rewards/compute_reward/mean': 0.578125, 'rewards/compute_reward/std': 0.4957992732524872, 'reward': 0.578125, 'reward_std': 0.19568344950675964, 'frac_reward_zero_std': 0.5625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': 0.0054, 'grad_norm': 0.6007810831069946, 'learning_rate': 4.7619047619047623e-07, 'num_tokens': 128628.0, 'completions/mean_length': 392.5703125, 'completions/min_length': 114.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.3515625, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.46875, 'completions/mean_terminated_length': 287.1911926269531, 'completions/min_terminated_length': 114.0, 'completions/max_terminated_length': 497.0, 'rewards/compute_reward/mean': 0.6015625, 'rewards/compute_reward/std': 0.4915000796318054, 'reward': 0.6015625, 'reward_std': 0.2845958471298218, 'frac_reward_zero_std': 0.375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
{'loss': -0.0119, 'grad_norm': 0.6370534896850586, 'learning_rate': 9.523809523809525e-07, 'num_tokens': 199058.0, 'completions/mean_length': 463.046875, 'completions/min_length': 193.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.3984375, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.7578125, 'completions/mean_terminated_length': 309.8709716796875, 'completions/min_terminated_length': 193.0, 'completions/max_terminated_length': 487.0, 'rewards/compute_reward/mean': 0.796875, 'rewards/compute_reward/std': 0.40390563011169434, 'reward': 0.796875, 'reward_std': 0.17965975403785706, 'frac_reward_zero_std': 0.5625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
{'loss': 0.0013, 'grad_norm': 0.35193806886672974, 'learning_rate': 1.4285714285714286e-06, 'num_tokens': 266184.0, 'completions/mean_length': 441.484375, 'completions/min_length': 70.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 2.9375, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6640625, 'completions/mean_terminated_length': 302.093017578125, 'completions/min_terminated_length': 70.0, 'completions/max_terminated_length': 483.0, 'rewards/compute_reward/mean': 0.6484375, 'rewards/compute_reward/std': 0.4793342351913452, 'reward': 0.6484375, 'reward_std': 0.1649293452501297, 'frac_reward_zero_std': 0.5625, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': 0.0105, 'grad_norm': 0.6919182538986206, 'learning_rate': 1.904761904761905e-06, 'num_tokens': 333248.0, 'completions/mean_length': 435.875, 'completions/min_length': 102.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.46875, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6328125, 'completions/mean_terminated_length': 304.68084716796875, 'completions/min_terminated_length': 102.0, 'completions/max_terminated_length': 500.0, 'rewards/compute_reward/mean': 0.4765625, 'rewards/compute_reward/std': 0.5014128684997559, 'reward': 0.4765625, 'reward_std': 0.27564430236816406, 'frac_reward_zero_std': 0.375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
{'loss': -0.0291, 'grad_norm': 0.5434350967407227, 'learning_rate': 2.380952380952381e-06, 'num_tokens': 400451.0, 'completions/mean_length': 443.2734375, 'completions/min_length': 80.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.484375, 'augmentations/min_length': 1.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6171875, 'completions/mean_terminated_length': 332.4693908691406, 'completions/min_terminated_length': 80.0, 'completions/max_terminated_length': 505.0, 'rewards/compute_reward/mean': 0.6640625, 'rewards/compute_reward/std': 0.47417303919792175, 'reward': 0.6640625, 'reward_std': 0.29196253418922424, 'frac_reward_zero_std': 0.3125, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.03}
{'loss': 0.0006, 'grad_norm': 0.4690811336040497, 'learning_rate': 2.8571428571428573e-06, 'num_tokens': 469192.0, 'completions/mean_length': 456.6640625, 'completions/min_length': 74.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.6015625, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.71875, 'completions/mean_terminated_length': 315.25, 'completions/min_terminated_length': 74.0, 'completions/max_terminated_length': 512.0, 'rewards/compute_reward/mean': 0.65625, 'rewards/compute_reward/std': 0.47682511806488037, 'reward': 0.65625, 'reward_std': 0.253841757774353, 'frac_reward_zero_std': 0.375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.03}
{'loss': -0.0284, 'grad_norm': 0.6205205321311951, 'learning_rate': 3.3333333333333333e-06, 'num_tokens': 537967.0, 'completions/mean_length': 451.6796875, 'completions/min_length': 95.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.7734375, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6484375, 'completions/mean_terminated_length': 340.4222412109375, 'completions/min_terminated_length': 95.0, 'completions/max_terminated_length': 482.0, 'rewards/compute_reward/mean': 0.46875, 'rewards/compute_reward/std': 0.5009832978248596, 'reward': 0.46875, 'reward_std': 0.2675113081932068, 'frac_reward_zero_std': 0.375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.04}
{'loss': -0.0148, 'grad_norm': 0.25557976961135864, 'learning_rate': 3.80952380952381e-06, 'num_tokens': 602898.0, 'completions/mean_length': 428.5859375, 'completions/min_length': 147.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.1328125, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.6640625, 'completions/mean_terminated_length': 263.6976623535156, 'completions/min_terminated_length': 147.0, 'completions/max_terminated_length': 502.0, 'rewards/compute_reward/mean': 0.65625, 'rewards/compute_reward/std': 0.47682511806488037, 'reward': 0.65625, 'reward_std': 0.1065337061882019, 'frac_reward_zero_std': 0.75, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.04}
{'loss': 0.023, 'grad_norm': 0.9699777960777283, 'learning_rate': 4.2857142857142855e-06, 'num_tokens': 673198.0, 'completions/mean_length': 456.03125, 'completions/min_length': 126.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.2578125, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.7421875, 'completions/mean_terminated_length': 294.9090881347656, 'completions/min_terminated_length': 126.0, 'completions/max_terminated_length': 509.0, 'rewards/compute_reward/mean': 0.6953125, 'rewards/compute_reward/std': 0.46208351850509644, 'reward': 0.6953125, 'reward_std': 0.19833698868751526, 'frac_reward_zero_std': 0.5, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.05}
{'loss': -0.041, 'grad_norm': 0.6321780681610107, 'learning_rate': 4.761904761904762e-06, 'num_tokens': 739174.0, 'completions/mean_length': 432.4375, 'completions/min_length': 108.0, 'completions/max_length': 512.0, 'augmentations/mean_length': 3.5625, 'augmentations/min_length': 0.0, 'augmentations/max_length': 5.0, 'completions/clipped_ratio': 0.609375, 'completions/mean_terminated_length': 308.32000732421875, 'completions/min_terminated_length': 108.0, 'completions/max_terminated_length': 502.0, 'rewards/compute_reward/mean': 0.71875, 'rewards/compute_reward/std': 0.4513758420944214, 'reward': 0.71875, 'reward_std': 0.25460314750671387, 'frac_reward_zero_std': 0.4375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.05}
