[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                                                                                                           
{'loss': 0.0, 'grad_norm': 37.560035705566406, 'learning_rate': 0.0, 'num_tokens': 34911.0, 'completions/mean_length': 1023.46875, 'completions/min_length': 1019.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.34375, 'rewards/compute_reward/std': 0.4825586974620819, 'reward': 0.34375, 'reward_std': 0.4397946000099182, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 44.93731689453125, 'learning_rate': 2.967359050445104e-08, 'num_tokens': 70110.0, 'completions/mean_length': 1023.46875, 'completions/min_length': 1022.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.375, 'rewards/compute_reward/std': 0.49186936020851135, 'reward': 0.375, 'reward_std': 0.3335031569004059, 'frac_reward_zero_std': 0.25, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 13.673026084899902, 'learning_rate': 5.934718100890208e-08, 'num_tokens': 105222.0, 'completions/mean_length': 1023.25, 'completions/min_length': 1022.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.40625, 'rewards/compute_reward/std': 0.49899089336395264, 'reward': 0.40625, 'reward_std': 0.2041158676147461, 'frac_reward_zero_std': 0.5, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': -0.0, 'grad_norm': 49.6732063293457, 'learning_rate': 8.902077151335312e-08, 'num_tokens': 140778.0, 'completions/mean_length': 1023.625, 'completions/min_length': 1022.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.375, 'rewards/compute_reward/std': 0.49186936020851135, 'reward': 0.375, 'reward_std': 0.4671337604522705, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 7.345824241638184, 'learning_rate': 1.1869436201780416e-07, 'num_tokens': 176240.0, 'completions/mean_length': 1023.6875, 'completions/min_length': 1023.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.21875, 'rewards/compute_reward/std': 0.420013427734375, 'reward': 0.21875, 'reward_std': 0.3061639666557312, 'frac_reward_zero_std': 0.25, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': -0.0, 'grad_norm': 13.537593841552734, 'learning_rate': 1.4836795252225522e-07, 'num_tokens': 211747.0, 'completions/mean_length': 1023.34375, 'completions/min_length': 1020.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.40625, 'rewards/compute_reward/std': 0.49899089336395264, 'reward': 0.40625, 'reward_std': 0.4218915104866028, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 36.541419982910156, 'learning_rate': 1.7804154302670624e-07, 'num_tokens': 246999.0, 'completions/mean_length': 1023.125, 'completions/min_length': 1015.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.4375, 'rewards/compute_reward/std': 0.504016101360321, 'reward': 0.4375, 'reward_std': 0.3745020925998688, 'frac_reward_zero_std': 0.25, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': -0.0, 'grad_norm': 63.8231086730957, 'learning_rate': 2.0771513353115727e-07, 'num_tokens': 282056.0, 'completions/mean_length': 1023.78125, 'completions/min_length': 1022.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.25, 'rewards/compute_reward/std': 0.4399413466453552, 'reward': 0.25, 'reward_std': 0.4261348247528076, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.0}
{'loss': -0.0, 'grad_norm': 37.74445343017578, 'learning_rate': 2.3738872403560833e-07, 'num_tokens': 317836.0, 'completions/mean_length': 1023.625, 'completions/min_length': 1021.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.25, 'rewards/compute_reward/std': 0.4399413466453552, 'reward': 0.25, 'reward_std': 0.4492306709289551, 'frac_reward_zero_std': 0.0, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 14.962313652038574, 'learning_rate': 2.6706231454005935e-07, 'num_tokens': 354021.0, 'completions/mean_length': 1023.28125, 'completions/min_length': 1018.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.46875, 'rewards/compute_reward/std': 0.507007360458374, 'reward': 0.46875, 'reward_std': 0.2041158676147461, 'frac_reward_zero_std': 0.5, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
{'loss': -0.0, 'grad_norm': 107.08438873291016, 'learning_rate': 2.9673590504451043e-07, 'num_tokens': 389043.0, 'completions/mean_length': 1023.4375, 'completions/min_length': 1020.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/compute_reward/mean': 0.21875, 'rewards/compute_reward/std': 0.420013427734375, 'reward': 0.21875, 'reward_std': 0.3061639666557312, 'frac_reward_zero_std': 0.25, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
